title,number of comments,rating
初恋这件小事,470010,8.3
英国病人,176273,8.4
燕尾蝶,109064,8.6
一个叫欧维的男人决定去死,119654,8.7
爱在午夜降临前,118459,8.8
你的名字。,475334,8.4
非常嫌疑犯,118320,8.6
叫我第一名,110440,8.6
穆赫兰道,238603,8.3
请以你的名字呼唤我,137603,8.8
勇士,88777,8.9
无敌破坏王,187248,8.6
疯狂的石头,320043,8.3
无人知晓,56252,9.0
上帝也疯狂,97451,8.6
国王的演讲,345232,8.3
血钻,134042,8.5
步履不停,73286,8.8
蓝色大门,275373,8.3
枪火,101086,8.6
大卫·戈尔的一生,94404,8.6
彗星来的那一夜,179728,8.4
爱·回家,47927,9.0
遗愿清单,130476,8.5
我爱你,58202,9.0
千钧一发,87052,8.7
荒岛余生,136014,8.5
麦兜故事,129521,8.5
暖暖内含光,146420,8.4
曾经,204953,8.3
月球,145457,8.5
黑鹰坠落,114114,8.5
